epoch,train_64,test_64,train_256,test_256,train_512,test_512,train_768,test_768
0,57.9,57.21,23.09,23.68,0.3,0.11,0,0
1,70.3,69.18,51.55,51.68,29.51,24.93,2.14,2.25
2,76.42,74.45,59.73,58.96,47.84,41.57,14.79,14.89
3,79.24,76.58,65.31,64.36,56.21,49.67,30.78,30.76
4,81.83,78.47,69.46,68,60.88,56.31,39.61,39.5
5,83.25,79.13,71.73,69.79,63.76,56.5,47.74,47.47
6,85.4,80.74,74.27,72.08,66.32,58.62,50.76,50.17
7,86.11,81.06,75.94,73.52,69.67,63.57,51.35,50.99
8,87.8,81.55,78.26,75.28,71.65,65.23,58.18,57.27
9,89.61,82.21,79.01,75.98,73.51,66.32,60.48,59.59
10,90.61,82.34,80.65,77.12,75.4,69.09,61.49,60.42
11,91.69,82.92,81.36,77.38,76.07,67.75,64.2,62.86
12,92.79,83.03,82.6,78.33,77.53,70.53,65.45,63.75
13,94.08,83.34,83.77,78.85,78.42,71.9,66.79,65.1
14,94.81,83.1,84.62,79.56,79.49,71.29,68.61,66.75
15,95.39,83.21,85.49,79.76,80.41,72.58,70.43,68.33
16,96.38,83.02,86.57,80.31,81.35,73.44,71.3,68.84
17,96.63,83.51,87.25,80.64,81.74,72.94,72.18,69.46
18,97.5,83.4,87.93,80.63,82.52,73.38,73.11,70.32
19,97.86,83.36,88.83,80.83,83.31,75.1,74.65,71.46
20,98.34,83.05,89.59,81.15,83.8,74.88,75.26,71.81
21,98.58,83.39,90.44,81.05,84.69,75.33,76.63,72.93
22,98.88,83.6,91.14,81.44,85.11,75.11,76.92,72.94
23,99.04,83.41,91.67,81.49,85.92,75.51,78.15,74.17
24,99.2,83.68,92.49,81.59,86.57,75.92,78.64,74.52
25,99.32,83.2,92.99,81.6,87.24,77.88,79.06,74.89
26,99.47,83.45,93.66,81.49,87.89,76.42,80.17,75.45
27,99.5,83.7,94.48,81.41,88.4,77.32,80.8,76.14
28,99.55,83.87,94.92,81.68,88.99,77.66,81.16,76.09
29,99.6,83.66,95.64,81.76,89.2,77.48,81.59,76.33
30,99.76,84.03,95.93,81.43,90.18,78.12,82.16,76.81
31,99.75,83.7,96.53,81.5,90.65,77.16,82.67,77.15
32,99.76,83.69,96.47,81.46,91.17,77.66,83.06,77.37
33,99.73,83.64,97.17,81.83,91.85,78.19,83.79,77.55
34,99.77,83.69,97.52,81.73,92.39,77.65,84.08,77.52
35,99.86,83.69,97.66,81.67,92.87,77.96,84.81,77.97
36,99.81,83.46,98.02,81.44,93.42,78.14,85.24,78.02
37,99.88,83.96,98.35,81.67,93.73,77.69,85.42,78.26
38,99.85,83.59,98.57,81.71,94.59,78.1,86.02,78.48
39,99.88,83.86,98.82,81.7,94.76,78.78,86.24,78.44